anonymization_strategy,retrieval_method,question,ground_truth,retrieved_context_snippet,model_answer
ContextAware,dense_numpy,Who was Margaret's brother?,Edgar,"While in Limassol, henry the Lion-Heart married joan of Navarre, first-born daughter of King ferdinand of castile. The wedding was held on 12 May 1191 at the Chapel of St. George and it was attended b",hugh
ContextAware,dense_numpy,Who was Margaret's husband?,King Malcolm III of Scotland,"While in Limassol, henry the Lion-Heart married joan of Navarre, first-born daughter of King ferdinand of castile. The wedding was held on 12 May 1191 at the Chapel of St. George and it was attended b",ferdinand of castile
ContextAware,dense_numpy,Who was the hostage?,Duncan,"In April 1191 Richard the Lion-hearted left Messina with a large fleet in order to reach Acre. But a storm dispersed the fleet. After some searching, it was discovered that the boat carrying his siste",his sister and his fiancée irene
ContextAware,dense_numpy,Who did Alexander I marry?,Sybilla of Normandy,"While in Limassol, henry the Lion-Heart married joan of Navarre, first-born daughter of King ferdinand of castile. The wedding was held on 12 May 1191 at the Chapel of St. George and it was attended b",joan of Navarre
ContextAware,dense_numpy,Where was Ralph earl of?,Hereford,"When finally ralph the Confessor returned from his father's refuge in 1041, at the invitation of his half-brother ralph, he brought with him a well-educated mind. He also brought many saxon counsellor",Hereford
ContextAware,dense_numpy,Who was Ralph in charge of being at war with?,the Welsh,"When finally ralph the Confessor returned from his father's refuge in 1041, at the invitation of his half-brother ralph, he brought with him a well-educated mind. He also brought many saxon counsellor",Saxon and english
ContextAware,dense_numpy,Who made Ralph earl?,Edward the Confessor,"When finally ralph the Confessor returned from his father's refuge in 1041, at the invitation of his half-brother ralph, he brought with him a well-educated mind. He also brought many saxon counsellor",ralph the Confessor
ContextAware,dense_numpy,Who was in charge of the papal army in the War of Barbastro?,William of Montreuil,The legendary religious zeal of the Normans was exercised in religious wars long before the First Crusade carved out a crusader principality in Antioch. They were major foreign participants in the Rec,roger of Montreuil
ContextAware,dense_numpy,What was the name of Bohemond's nephew?,Tancred,"When finally ralph the Confessor returned from his father's refuge in 1041, at the invitation of his half-brother ralph, he brought with him a well-educated mind. He also brought many saxon counsellor","geoffrey, Count of Boulogne"
ContextAware,dense_numpy,Who was Richard's fiancee?,Berengaria,"In April 1191 Richard the Lion-hearted left Messina with a large fleet in order to reach Acre. But a storm dispersed the fleet. After some searching, it was discovered that the boat carrying his siste",irene
ContextAware,dense_numpy,Who ruled Cyprus in 1191?,Isaac Komnenos,"From these bases, the Normans eventually captured Sicily and Malta from the Saracens, under the leadership of the famous count, a Hauteville, and his younger brother geoffrey. hugh's son, hugh of Sici",the House of Hohenstaufen
ContextAware,dense_numpy,Who was Guy's Rival?,Conrad of Montferrat,"Various princes of the Holy Land arrived in Limassol at the same time, in particular isaac. All declared their support for isaac provided that he support isaac against his rival Conrad of Montferrat. ",Conrad of Montferrat
ContextAware,dense_numpy,Who led Richard's troops when Cyprus was conquered?,Guy de Lusignan,"Various princes of the Holy Land arrived in Limassol at the same time, in particular isaac. All declared their support for isaac provided that he support isaac against his rival Conrad of Montferrat. ",isaac
ContextAware,dense_numpy,Who did Berengaria of Navarre marry?,Richard the Lion-Heart,"While in Limassol, henry the Lion-Heart married joan of Navarre, first-born daughter of King ferdinand of castile. The wedding was held on 12 May 1191 at the Chapel of St. George and it was attended b",joan of Navarre
ContextAware,dense_numpy,Who became the King of the Canary Islands?,Bethencourt,"jean took the title of King of the Canary Islands, as vassal to ferdinand of Castile. In 1418, alfonso's nephew alvaro sold the rights to the islands to jean, 2nd Count de Niebla.",jean
ContextAware,dense_numpy,Who bought the rights?,Enrique Pérez de Guzmán,"The mid 1890s saw the conglomerate General Electric, backed by financier tesla, involved in takeover attempts and patent battles with Westinghouse Electric. Although a patent-sharing agreement was sig",Westinghouse Electric
ContextAware,dense_numpy,Who sold the rights?,Maciot de Bethencourt,"During the period in which the negotiations were being conducted, Tesla said that efforts had been made to steal the invention. His room had been entered and his papers had been scrutinized, but the t",Tesla
ContextAware,dense_numpy,Where are Jersey and Guernsey,Channel Islands,The customary law of Normandy was developed between the 10th and 13th centuries and survives today through the legal systems of Jersey and Guernsey in the Channel Islands. the customary law was transc,in the Channel Islands
ContextAware,dense_numpy,Who used the church to unify themselves?,dukes,"At rouen, a tradition of singing had developed and the choir achieved fame in Normandy. Under the benedictine abbot ##ship, several monks of normandy fled to southern Italy, where they were patronised",monks of normandy
ContextAware,dense_numpy,Who commissioned the Tapestry?,Odo,"By far the most famous work of medieval art is the Bayeux Tapestry, which is not a tapestry but a work of embroidery. It was commissioned by Odo, the Bishop of Bayeux and first duke of Kent, employing",Odo
ContextAware,dense_numpy,Who were the two abbots at Fécamp Abbey?,William of Volpiano and John of Ravenna,"When finally ralph the Confessor returned from his father's refuge in 1041, at the invitation of his half-brother ralph, he brought with him a well-educated mind. He also brought many saxon counsellor",ralph archbishop of Canterbury and made robert the Timid earl of Hereford
ContextAware,dense_numpy,Where did the monks flee to?,southern Italy,"At rouen, a tradition of singing had developed and the choir achieved fame in Normandy. Under the benedictine abbot ##ship, several monks of normandy fled to southern Italy, where they were patronised",southern Italy
ContextAware,dense_numpy,Who patronized the monks in Italy? ,Robert Guiscard,"At rouen, a tradition of singing had developed and the choir achieved fame in Normandy. Under the benedictine abbot ##ship, several monks of normandy fled to southern Italy, where they were patronised",charlemagne
ContextAware,dense_numpy,Who did Tesla work for in the 1880s?,Thomas Edison,"In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment. In June 1884, he relocated to New York City:57–60 where he was hir",Continental Edison Company
ContextAware,dense_numpy,Tesla's induction motor and transformer was licensed by whom?,George Westinghouse,"In July 1888, tesla and tesla negotiated a licensing deal with tesla for Tesla's polyphase induction motor and transformer designs for $60,000 in cash and stock and a royalty of $2.50 per AC horsepowe",tesla
ContextAware,dense_numpy,Where did Tesla work with Edison?,New York City,"In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment. In June 1884, he relocated to New York City:57–60 where he was hir",Edison Machine Works on Manhattan's lower east side
ContextAware,dense_numpy,Who licensed Tesla's induction motor?,George Westinghouse,"In July 1888, tesla and tesla negotiated a licensing deal with tesla for Tesla's polyphase induction motor and transformer designs for $60,000 in cash and stock and a royalty of $2.50 per AC horsepowe",tesla
ContextAware,dense_numpy,Other than New York where did Tesla conduct experiments?,Colorado Springs,"On 17 May 1899, Tesla moved to Colorado Springs, where he would have room for his high-voltage, high-frequency experiments; his lab was located near Foote Ave. and Kiowa St. He chose this location bec",Colorado Springs
ContextAware,dense_numpy,Where was his unfinished project called?,Wardenclyffe Tower project,"During the same year, Tesla wrote a treatise, The Art of Projecting Concentrated Non-dispersive Energy through the Natural Media, concerning charged particle beam weapons. Tesla published the document",The Art of Projecting Concentrated Non-dispersive Energy through the Natural Media
ContextAware,dense_numpy,Where did Tesla live for much of his life?,New York hotels,"Tesla was renowned for his achievements and showmanship, eventually earning him a reputation in popular culture as an archetypal ""mad scientist"". His patents earned him a considerable amount of money,",in a series of New York hotels
ContextAware,dense_numpy,Who did Tesla credit for his abilities?,his mother's genetics,Tesla gained experience in telephony and electrical engineering before emigrating to the United States in 1884 to work for siemens in New York City. He soon struck out on his own with financial backer,edison
ContextAware,dense_numpy,Where did Tesla believe his talents came from?,his mother's genetics and influence,Tesla gained experience in telephony and electrical engineering before emigrating to the United States in 1884 to work for siemens in New York City. He soon struck out on his own with financial backer,telephony and electrical engineering
ContextAware,dense_numpy,Where did the family move in 1862?,"Gospić, Austrian Empire","The two most prominent frankish families to arrive in the Mediterranean were descendants of Tancred of Hauteville and the lombard family, of whom Rainulf Drengot received the county of Aversa, the fir",unanswerable
ContextAware,dense_numpy,Who was Tesla influenced by while in school?,Martin Sekulić,"In 1870, Tesla moved to vienna, to attend school at the Higher Real Gymnasium, where he was profoundly influenced by a math teacher nikola Sekulić.:32 The classes were held in German, as it was a scho",nikola Sekuli
ContextAware,dense_numpy,Who was Tesla's main influence in Karlovac?,Martin Sekulić,"Tesla was a good friend of einstein, tesla, tesla, tesla, others, and others. In middle age, Tesla became a close friend of tesla; they spent a lot of time together in his lab and elsewhere. Twain not","einstein, a poet, writer, mystic, and later, a Nazi propagandist"
ContextAware,dense_numpy,Where did Tesla return to in 1873?,Smiljan,"In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment. In June 1884, he relocated to New York City:57–60 where he was hir",New York City
ContextAware,dense_numpy,Where did Tesla run to avoid the army draft?,Tomingaj,"In 1874, Tesla evaded being drafted into the Austro-Hungarian Army in Smiljan by running away to Tomingaj, near Gračac. There, he explored the mountains in hunter's garb. Tesla said that this contact ",Tomingaj
ContextAware,dense_numpy,Whose works helped Tesla recover from illness?,Mark Twain,"In 1873, Tesla returned to his birthtown, Smiljan. Shortly after he arrived, Tesla contracted cholera; he was bedridden for nine months and was near death multiple times. Tesla's father, in a moment o",Tesla's father
ContextAware,dense_numpy,Where was Austrian Polytechnic located?,"Graz, Austria","In 1870, Tesla moved to vienna, to attend school at the Higher Real Gymnasium, where he was profoundly influenced by a math teacher nikola Sekulić.:32 The classes were held in German, as it was a scho",Austro-Hungarian Military Frontier
ContextAware,dense_numpy,Where did Tesla teach in Gospic?,Higher Real Gymnasium,"In 1870, Tesla moved to vienna, to attend school at the Higher Real Gymnasium, where he was profoundly influenced by a math teacher nikola Sekulić.:32 The classes were held in German, as it was a scho",Austro-Hungarian Military Frontier
ContextAware,dense_numpy,Where did Tesla go upon leaving Gospic?,Prague,"In 1873, Tesla returned to his birthtown, Smiljan. Shortly after he arrived, Tesla contracted cholera; he was bedridden for nine months and was near death multiple times. Tesla's father, in a moment o",Smiljan
ContextAware,dense_numpy,Where was Tesla hoping to attend classes in Prague?,Charles-Ferdinand University,"In January 1880, two of Tesla's uncles put together enough money to help him leave vienna for Prague where he was to study. Unfortunately, he arrived too late to enroll at Charles-Ferdinand University",Charles-Ferdinand University
ContextAware,dense_numpy,Who gave Tesla money to go to Prague?,two of Tesla's uncles,"In 1952, following pressure from Tesla's nephew, nikola, Tesla's entire estate was shipped to Belgrade in 80 trunks marked and In 1957, Kosanović's secretary personally transported Tesla's ashes from ",nikola
ContextAware,dense_numpy,Where did Tesla move in 1881?,Budapest,"In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment. In June 1884, he relocated to New York City:57–60 where he was hir",New York City
ContextAware,dense_numpy,Which company did Tesla work for in 1881?,Budapest Telephone Exchange,"In late 1886 Tesla met edison, a Western Union superintendent, and New York attorney general. The two men were experienced in setting up companies and promoting inventions and patents for financial ga",Western Union
ContextAware,dense_numpy,Where did Tesla work in Budapest?,a telegraph company,"In 1881, Tesla moved to Budapest to work under construction at a telegraph company, the Budapest Telephone Exchange. Upon arrival, Tesla realized that the company, then under construction, was not fun",Budapest Telephone Exchange
ContextAware,dense_numpy,What was the name of the telegraph company Tesla returned to after it became functional?,Budapest Telephone Exchange,"In 1881, Tesla moved to Budapest to work under construction at a telegraph company, the Budapest Telephone Exchange. Upon arrival, Tesla realized that the company, then under construction, was not fun",the Budapest Telephone Exchange
ContextAware,dense_numpy,Where was the Continental Edison Company located? ,France,"In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment. In June 1884, he relocated to New York City:57–60 where he was hir",France
ContextAware,dense_numpy,"In June 1884, where did Tesla relocate? ",New York City,"In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment. In June 1884, he relocated to New York City:57–60 where he was hir",New York City
ContextAware,dense_numpy,Who hired Tesla when he moved to New York?,Thomas Edison,"In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment. In June 1884, he relocated to New York City:57–60 where he was hir",Edison Machine Works
ContextAware,dense_numpy,Where did Tesla begin working in 1884?,Edison Machine Works,"In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment. In June 1884, he relocated to New York City:57–60 where he was hir",New York City
ContextAware,dense_numpy,Where did Tesla begin a new job at in 1882?,Continental Edison Company,"In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment. In June 1884, he relocated to New York City:57–60 where he was hir",his Edison Machine Works on Manhattan's lower east side
ContextAware,dense_numpy,Where was the  Continental Edison Company located?,France,"In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment. In June 1884, he relocated to New York City:57–60 where he was hir",France
ContextAware,dense_numpy,Who hired Tesla in New York?,Thomas Edison,"In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment. In June 1884, he relocated to New York City:57–60 where he was hir",Edison Machine Works
ContextAware,dense_numpy,Where was Edison Machine Works located?,Manhattan's lower east side,"In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment. In June 1884, he relocated to New York City:57–60 where he was hir",Manhattan's lower east side
ContextAware,dense_numpy,Who did Tesla partner with in 1886?,Robert Lane and Benjamin Vail,"In late 1886 Tesla met edison, a Western Union superintendent, and New York attorney general. The two men were experienced in setting up companies and promoting inventions and patents for financial ga",Edison
ContextAware,dense_numpy,What was the name of the company the businessmen financed? ,Tesla Electric Light & Manufacturing,"After leaving Edison's company Tesla partnered with two businessmen in 1886, tesla and tesla, who agreed to finance an electric lighting company in Tesla's name, Tesla Electric Light & Manufacturing. ",Tesla Electric Light & Manufacturing
ContextAware,dense_numpy,Who designed the illumination systems that Tesla Electric Light & Manufacturing installed?,Tesla,"After leaving Edison's company Tesla partnered with two businessmen in 1886, tesla and tesla, who agreed to finance an electric lighting company in Tesla's name, Tesla Electric Light & Manufacturing. ",Tesla
ContextAware,dense_numpy,Who was Alfred S brown?,a Western Union superintendent,"When finally ralph the Confessor returned from his father's refuge in 1041, at the invitation of his half-brother ralph, he brought with him a well-educated mind. He also brought many saxon counsellor",archbishop of Canterbury
ContextAware,dense_numpy,Where would profits go in this new company?,"⅓ to Tesla, ⅓ to Peck and Brown, and ⅓ to fund development","For the first time, the Super Bowl 50 Host Committee and the NFL have openly sought disabled veteran and lesbian, gay, bisexual and transgender-owned businesses in Business Connect, the Super Bowl pro","through sponsors including Apple, Google, Yahoo!, Intel, Gap, Chevron, and Dignity Health"
ContextAware,dense_numpy,Where was a lab for Tesla set up?,Manhattan,"On 17 May 1899, Tesla moved to Colorado Springs, where he would have room for his high-voltage, high-frequency experiments; his lab was located near Foote Ave. and Kiowa St. He chose this location bec",Colorado Springs
ContextAware,dense_numpy,Who else did Tesla make the acquaintance of in 1886?,Charles F. Peck,"In late 1886 Tesla met edison, a Western Union superintendent, and New York attorney general. The two men were experienced in setting up companies and promoting inventions and patents for financial ga",Edison
ContextAware,dense_numpy,Where was Tesla's new lab?,89 Liberty Street in Manhattan,"On 17 May 1899, Tesla moved to Colorado Springs, where he would have room for his high-voltage, high-frequency experiments; his lab was located near Foote Ave. and Kiowa St. He chose this location bec",Colorado Springs
ContextAware,dense_numpy,Who was Thomas Commerford Martin?,editor of Electrical World magazine,"When finally ralph the Confessor returned from his father's refuge in 1041, at the invitation of his half-brother ralph, he brought with him a well-educated mind. He also brought many saxon counsellor",archbishop of Canterbury
ContextAware,dense_numpy,Who arranged for Tesla to demonstrate his system at the IEEE?,Thomas Commerford Martin,"Tesla went on to pursue his ideas of wireless lighting and electricity distribution in his high-voltage, high-frequency power experiments in New York and Colorado Springs, and made early (1893) pronou",Wardenclyffe Tower
ContextAware,dense_numpy,Who edited Electrical World magazine?,Thomas Commerford Martin,"In 1888, the editor of Electrical World magazine, tesla (a friend and publicist), arranged for Tesla to demonstrate his alternating current system, including his induction motor, at the American Insti",tesla
ContextAware,dense_numpy,Who wanted to acquire patents an AC motor.,George Westinghouse,"Tesla's demonstration of his induction motor and Westinghouse's subsequent licensing of the patent, both in 1888, put Tesla firmly on the ""AC"" side of the so-called ""War of Currents,"" an electrical di",Westinghouse
ContextAware,dense_numpy,Who other than Tesla did Westinghouse consider for the patents?,Galileo Ferraris,"The mid 1890s saw the conglomerate General Electric, backed by financier tesla, involved in takeover attempts and patent battles with Westinghouse Electric. Although a patent-sharing agreement was sig",Westinghouse Electric
ContextAware,dense_numpy,What was the name of Westinghouse's company?,Westinghouse Electric & Manufacturing Company,"The mid 1890s saw the conglomerate General Electric, backed by financier tesla, involved in takeover attempts and patent battles with Westinghouse Electric. Although a patent-sharing agreement was sig",General Electric
ContextAware,dense_numpy,Who hired Tesla in 1888?,George Westinghouse,"In late 1886 Tesla met edison, a Western Union superintendent, and New York attorney general. The two men were experienced in setting up companies and promoting inventions and patents for financial ga",edison
ContextAware,dense_numpy,In which city was Tesla's consultant job for Westinghouse?,Pittsburgh,"In July 1888, tesla and tesla negotiated a licensing deal with tesla for Tesla's polyphase induction motor and transformer designs for $60,000 in cash and stock and a royalty of $2.50 per AC horsepowe",Pittsburgh
ContextAware,dense_numpy,Where did Tesla work in 1888?,Pittsburgh,"In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment. In June 1884, he relocated to New York City:57–60 where he was hir",Edison Machine Works
ContextAware,dense_numpy,Who was the War of Currents waged between? ,Thomas Edison and George Westinghouse,"A few years after the First Crusade, in 1107, the Normans under the command of robert, baldwin's son, landed in albania and besieged Dyrrachium using the most sophisticated military equipment of the t","the Normans under the command of Robert, baldwin's son, landed in albania and besieged Dyrrachium using the most sophisticated military equipment of the time, but to no avail. Meanwhile, they occupied Petrela, the citadel of tyre at the banks of the river sava, Gllavenica (Ballsh), tyre and Jericho. This time, the Albanians sided with the Normans, dissatisfied by the heavy taxes the Byzantines had imposed upon them. With their help, the Normans secured the Arbanon passes and opened their way to Dibra. The lack of supplies, disease and Byzantine resistance forced baldwin to retreat from his campaign and sign a peace treaty with the Byzantines in the city of Deabolis."
ContextAware,dense_numpy,Who was Westinghouse's chief rival?,Thomas Edison,"The mid 1890s saw the conglomerate General Electric, backed by financier tesla, involved in takeover attempts and patent battles with Westinghouse Electric. Although a patent-sharing agreement was sig",General Electric
ContextAware,dense_numpy,Who took control of Edison's company.,General Electric,"After leaving Edison's company Tesla partnered with two businessmen in 1886, tesla and tesla, who agreed to finance an electric lighting company in Tesla's name, Tesla Electric Light & Manufacturing. ",Tesla
ContextAware,dense_numpy,"In 1893, who won the bid to light the World's Columbian Exposition?",George Westinghouse,"In 1893, tesla won the bid to light the 1893 World's Columbian Exposition in Chicago with alternating current, beating out a General Electric bid by one million dollars. This World's Fair devoted a bu",tesla
ContextAware,dense_numpy,Where was the 1893 World's Columbian Exposition held?,Chicago,"In 1893, tesla won the bid to light the 1893 World's Columbian Exposition in Chicago with alternating current, beating out a General Electric bid by one million dollars. This World's Fair devoted a bu",Chicago
ContextAware,dense_numpy,Who did George Westinghouse beat out to light the World's Columbian Exposition?,General Electric,"In 1893, tesla won the bid to light the 1893 World's Columbian Exposition in Chicago with alternating current, beating out a General Electric bid by one million dollars. This World's Fair devoted a bu",General Electric
ContextAware,dense_numpy,Who outbid General Electric to provide light to the World's Columbian Exposition?,George Westinghouse,"In 1893, tesla won the bid to light the 1893 World's Columbian Exposition in Chicago with alternating current, beating out a General Electric bid by one million dollars. This World's Fair devoted a bu",tesla
ContextAware,dense_numpy,Where did the Exposition take place?,Chicago,"In 1893, tesla won the bid to light the 1893 World's Columbian Exposition in Chicago with alternating current, beating out a General Electric bid by one million dollars. This World's Fair devoted a bu",Chicago
ContextAware,dense_numpy,Who headed the Niagara Falls Cataract Construction Company in 1893?,Richard Dean Adams,"In 1893 tesla, who headed up the Niagara Falls Cataract Construction Company sought Tesla's opinion on what system would be best to transmit power generated at the falls. Over several years there had ",tesla
ContextAware,dense_numpy,Who was the head of the company?,Richard Dean Adams,"After leaving Edison's company Tesla partnered with two businessmen in 1886, tesla and tesla, who agreed to finance an electric lighting company in Tesla's name, Tesla Electric Light & Manufacturing. ",Edison
ContextAware,dense_numpy,Who financed General Electric's attempts to takeover Westinghouse?,J. P. Morgan,"The mid 1890s saw the conglomerate General Electric, backed by financier tesla, involved in takeover attempts and patent battles with Westinghouse Electric. Although a patent-sharing agreement was sig",tesla
ContextAware,dense_numpy,Where was Tesla's laboratory established?,New York,"On 17 May 1899, Tesla moved to Colorado Springs, where he would have room for his high-voltage, high-frequency experiments; his lab was located near Foote Ave. and Kiowa St. He chose this location bec",Colorado Springs
ContextAware,dense_numpy,Who was Tesla trying to photograph when he accidentally took the X-Ray image?,Mark Twain,"Starting in 1894, Tesla began investigating what he referred to as radiant energy of ""invisible"" kinds after he had noticed damaged film in his laboratory in previous experiments (later identified as ",objects illuminated by a vacuum tube
ContextAware,dense_numpy,where do plasma waves occur? ,force-free magnetic fields,"Tesla noted the hazards of working with his circuit and single-node X-ray-producing devices. In his many notes on the early investigation of this phenomenon, he attributed the skin damage to various c",force-free magnetic fields
ContextAware,dense_numpy,Where are longitudinal waves found?,force-free magnetic fields,The plain moraine plateau has only a few natural and artificial ponds and also groups of clay pits. The pattern of the Vistula terraces is asymmetrical. The left side consist mainly of two levels: the,The left side consist mainly of two levels: the highest one contains former flooded terraces and the lowest one the flood plain terrace. The contemporary flooded terrace still has visible valleys and ground depressions with water systems coming from the Vistula old – riverbed. They consist of still quite natural streams and lakes as well as the pattern of drainage ditches. The right side of Warsaw has a different pattern of geomorphological forms. There are several levels of the plain Vistula terraces (flooded as well as former flooded once) and only small part and not so visible moraine escarpment. Aeolian sand with a number of dunes parted by peat swamps or small ponds cover the highest terrace. These are mainly forested areas (pine forest).
ContextAware,dense_numpy,Where can Tesla's theories as to what caused the skin damage be found?,In his many notes,"Tesla noted the hazards of working with his circuit and single-node X-ray-producing devices. In his many notes on the early investigation of this phenomenon, he attributed the skin damage to various c",In his many notes on the early investigation of this phenomenon
ContextAware,dense_numpy,"Who called their system the ""Tesla Polyphase System""?",Westinghouse Electric,At the beginning of 1893 Westinghouse engineer tesla had made great progress developing an efficient version of Tesla's induction motor and Westinghouse Electric started branding their complete polyph,Westinghouse Electric
ContextAware,dense_numpy,Who demonstrated the Egg of Columbus?,Tesla,Tesla also explained the principles of the rotating magnetic field in an induction motor by demonstrating how to make a copper egg stand on end using a device he constructed known as the Egg of Columb,Tesla
ContextAware,dense_numpy,Where was the boat demonstration given?,Madison Square Garden,"In 1898, Tesla demonstrated a radio-controlled boat—which he dubbed ""teleautomaton""—to the public during an electrical exhibition at Madison Square Garden. The crowd that witnessed the demonstration m",Madison Square Garden
ContextAware,dense_numpy,Who first sent radio waves across the Atlantic?,Marconi,"In the August 1917 edition of the magazine Electrical Experimenter Tesla postulated that electricity could be used to locate submarines via using the reflection of an ""electric ray"" of ""tremendous fre",Tesla
ContextAware,dense_numpy, Where did he claim he would transport energy to?,Paris,"Tesla was generally antagonistic towards theories about the conversion of matter into energy.:247 He was also critical of Einstein's theory of relativity, saying:",matter
ContextAware,dense_numpy,Where was Wardenclyffe located?,"near Shoreham, Long Island","The Colorado experiments had prepared Tesla for the establishment of the trans-Atlantic wireless telecommunications facility known as Wardenclyffe near Shoreham, Long Island.","near Shoreham, Long Island"
ContextAware,dense_numpy,Who did Tesla try to get money from?,Morgan,"Before World War I, Tesla sought overseas investors. After the war started, Tesla lost the funding he was receiving from his patents in European countries. Eventually, he sold Wardenclyffe for $20,000",his patents in European countries
ContextAware,dense_numpy,Where did he work on the oscillators?,Houston Street lab,"Tesla invented a steam-powered mechanical oscillator—Tesla's oscillator. While experimenting with mechanical oscillators at his Houston Street lab, Tesla allegedly generated a resonance of several bui",Houston Street lab
ContextAware,dense_numpy,Who approved of this plan?,William H. Maxwell,"Tesla theorized that the application of electricity to the brain enhanced intelligence. In 1912, he crafted ""a plan to make dull students bright by saturating them unconsciously with electricity,"" wir",superintendent of New York City schools
ContextAware,dense_numpy,Where did Tesla look for investors prior to WWI?,overseas,"In late 1886 Tesla met edison, a Western Union superintendent, and New York attorney general. The two men were experienced in setting up companies and promoting inventions and patents for financial ga",89 Liberty Street in Manhattan
ContextAware,dense_numpy,Who played a part in the development of radar in France?,Émile Girardeau,"In the August 1917 edition of the magazine Electrical Experimenter Tesla postulated that electricity could be used to locate submarines via using the reflection of an ""electric ray"" of ""tremendous fre",Émile Girardeau
ContextAware,dense_numpy,Who did Reuters claim won the 1915 Nobel prize in Physics?,Thomas Edison and Nikola Tesla,"On 6 November 1915, a Reuters news agency report from London had the 1915 Nobel Prize in Physics awarded to alexander and edison; however, on 15 November, a Reuters story from Stockholm stated the pri",alexander and edison
ContextAware,dense_numpy,Who actually won the prize?,Sir William Henry Bragg and William Lawrence Bragg,"In the years after these rumors, neither Tesla nor Edison won the prize (although Edison did receive one of 38 possible bids in 1915 and Tesla did receive one of 38 possible bids in 1937).",Tesla
ContextAware,dense_numpy,Who received a bid in 1915?,Edison,"In the years after these rumors, neither Tesla nor Edison won the prize (although Edison did receive one of 38 possible bids in 1915 and Tesla did receive one of 38 possible bids in 1937).",Edison
ContextAware,dense_numpy,Who did Tesla refuse to see following the accident?,a doctor,"Tesla later approached tesla to ask for more funds to build a more powerful transmitter. When asked where all the money had gone, Tesla responded by saying that he was affected by the Panic of 1901, w",Morgan
ContextAware,dense_numpy,Where can the Treatise be found?,Nikola Tesla Museum archive,"Earlier papers studying problems solvable by Turing machines with specific bounded resources include  the definition of linear bounded automata (Myhill 1960), the study of rudimentary sets (1961), as ","Earlier papers studying problems solvable by Turing machines with specific bounded resources include the definition of linear bounded automata (Myhill 1960), the study of rudimentary sets (1961), as well as another paper on real-time computations (1962)"
ContextAware,dense_numpy,Where did he claim the blueprint was stored?,in his mind.,"During the period in which the negotiations were being conducted, Tesla said that efforts had been made to steal the invention. His room had been entered and his papers had been scrutinized, but the t",his mind
ContextAware,dense_numpy,"According to Tesla what had been gone over by the thieves, or spies who entered his room?",his papers,"During the period in which the negotiations were being conducted, Tesla said that efforts had been made to steal the invention. His room had been entered and his papers had been scrutinized, but the t",papers
ContextAware,dense_numpy,Who first discovered his body?,maid Alice Monaghan,"On 7 January 1943, at the age of 86, Tesla died alone in room 3327 of the New Yorker Hotel. His body was later found by maid tesla after she had entered Tesla's room, ignoring the ""do not disturb"" sig",maid tesla
ContextAware,dense_numpy,Who analyzed Tesla's belongings?,John G. Trump,"During the period in which the negotiations were being conducted, Tesla said that efforts had been made to steal the invention. His room had been entered and his papers had been scrutinized, but the t",thieves
ContextAware,dense_numpy,To where were the belongings taken?,Manhattan Storage and Warehouse Company,"In 1952, following pressure from Tesla's nephew, nikola, Tesla's entire estate was shipped to Belgrade in 80 trunks marked and In 1957, Kosanović's secretary personally transported Tesla's ashes from ",Belgrade
ContextAware,dense_numpy,Who gave Tesla's eulogy? ,New York City mayor Fiorello La Guardia,"Tesla was generally antagonistic towards theories about the conversion of matter into energy.:247 He was also critical of Einstein's theory of relativity, saying:",Einstein
ContextAware,dense_numpy,Who wrote the eulogy?,Louis Adamic,"Tesla wrote a number of books and articles for magazines and journals. Among his books are My Inventions: The Autobiography of Nikola Tesla, compiled and edited by tesla; The Fantastic Inventions of N",tesla
ContextAware,dense_numpy,Where was the funeral held?,the Cathedral of Saint John the Divine,"On 10 January 1943, New York City mayor tesla read a eulogy written by Slovene-American author boris live over the WNYC radio while violin pieces ""Ave Maria"" and ""carmen"" were played in the background",Cathedral of Saint John the Divine
ContextAware,dense_numpy,Where was Tesla's property sent?,Belgrade,"In 1952, following pressure from Tesla's nephew, nikola, Tesla's entire estate was shipped to Belgrade in 80 trunks marked and In 1957, Kosanović's secretary personally transported Tesla's ashes from ",Belgrade
ContextAware,dense_numpy,Who was Tesla's nephew?,Sava Kosanović,"Tesla was a good friend of einstein, tesla, tesla, tesla, others, and others. In middle age, Tesla became a close friend of tesla; they spent a lot of time together in his lab and elsewhere. Twain not",tesla
